BQI	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	SAMPLE_ID	Date	Institution	Station	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
4.03309	48.0	63.41342	19.85197	48.0	5	WA82865410	48.0	63.41_19.85	d104f44f4cfb759a0c3891df21f6c62f	2013-05-29	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110871_SE633550-200700	110871
3.6223	48.0	63.41342	19.85197	48.0	5	WA82865410	48.0	63.41_19.85	d019b0d9835a235430468bfbb68ea2ea	2013-05-29	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110872_SE633550-200700	110872
3.06431	48.0	63.41342	19.85197	48.0	5	WA82865410	48.0	63.41_19.85	43b60fbba9c0ab755e8bd8f14a067b08	2013-05-29	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110873_SE633550-200700	110873
3.93212	51.2	63.40012	19.97717	51.2	5	WA82865410	51.2	63.40_19.98	8a15031d327df8b41da1904922513e75	2013-05-29	Umeå Universitet	N 17		SE633550-200700	51.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110874_SE633550-200700	110874
4.98436	51.2	63.40012	19.97717	51.2	5	WA82865410	51.2	63.40_19.98	ebcffc87d5617e45a6442c3844ee5fe6	2013-05-29	Umeå Universitet	N 17		SE633550-200700	51.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110875_SE633550-200700	110875
4.97625	51.2	63.40012	19.97717	51.2	5	WA82865410	51.2	63.40_19.98	384c440509a379b52fa073edc9de2b46	2013-05-29	Umeå Universitet	N 17		SE633550-200700	51.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110876_SE633550-200700	110876
2.24835	63.5	63.38923	19.85737	63.5	5	WA82865410	63.5	63.39_19.86	63052da23700327f68e20a82dd19f23d	2013-05-29	Umeå Universitet	N 22		SE633550-200700	63.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110880_SE633550-200700	110880
2.95269	63.5	63.38923	19.85737	63.5	5	WA82865410	63.5	63.39_19.86	c6c9583d97bbd937cb66a52fa08f7707	2013-05-29	Umeå Universitet	N 22		SE633550-200700	63.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110881_SE633550-200700	110881
2.28725	63.5	63.38923	19.85737	63.5	5	WA82865410	63.5	63.39_19.86	425a8b0ea9f2d866f8807d9825163e66	2013-05-29	Umeå Universitet	N 22		SE633550-200700	63.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110882_SE633550-200700	110882
3.75958	86.1	63.41677	20.11270	86.1	5	WA82865410	86.1	63.42_20.11	1956accd2ad02a98c02cc079eb1c08a1	2013-05-29	Umeå Universitet	N 24		SE633550-200700	86.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110883_SE633550-200700	110883
3.72924	86.1	63.41677	20.11270	86.1	5	WA82865410	86.1	63.42_20.11	f291aa3f46c24ded0656d807d75b98bc	2013-05-29	Umeå Universitet	N 24		SE633550-200700	86.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110884_SE633550-200700	110884
3.59374	86.1	63.41677	20.11270	86.1	5	WA82865410	86.1	63.42_20.11	07ce8d47afe06090be7d0abbc9ca4bf0	2013-05-29	Umeå Universitet	N 24		SE633550-200700	86.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110885_SE633550-200700	110885
2.32039	48.0	63.41345	19.85203	48.0	6	WA82865410	48.0	63.41_19.85	67e67cf1217d5e9a27a64af9ba1703a7	2012-06-08	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111344_SE633550-200700	111344
2.95705	48.0	63.41345	19.85203	48.0	6	WA82865410	48.0	63.41_19.85	d21271df292ac43e9f55cf0044afc017	2012-06-08	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111345_SE633550-200700	111345
2.94729	48.0	63.41345	19.85203	48.0	6	WA82865410	48.0	63.41_19.85	a2694a7a5b94062417a4a2da0db932f9	2012-06-08	Umeå Universitet	N 16		SE633550-200700	48.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111346_SE633550-200700	111346
2.26922	64.0	63.38908	19.85747	64.0	6	WA82865410	64.0	63.39_19.86	b2d95fc6b691df882109d6500cd5c5b7	2012-06-08	Umeå Universitet	N 22		SE633550-200700	64.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111353_SE633550-200700	111353
2.89167	64.0	63.38908	19.85747	64.0	6	WA82865410	64.0	63.39_19.86	c7adbbc36d6bf5b2b13516cf2a68c5cb	2012-06-08	Umeå Universitet	N 22		SE633550-200700	64.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111354_SE633550-200700	111354
2.95544	64.0	63.38908	19.85747	64.0	6	WA82865410	64.0	63.39_19.86	d34bfdebbcef808cb7226d2d68b7f1b8	2012-06-08	Umeå Universitet	N 22		SE633550-200700	64.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111355_SE633550-200700	111355
3.47736	39.9	63.60902	20.73690	39.9	6	WA82865410	39.9	63.61_20.74	d910e2f6e967ae4d74153888db040de8	2012-06-07	Umeå Universitet	HO 1		SE633550-200700	39.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111374_SE633550-200700	111374
4.32525	32.3	63.64140	20.75388	32.3	6	WA82865410	32.3	63.64_20.75	10dfafbdfe6e95dd2c32b90a26edd29d	2012-06-07	Umeå Universitet	HO 2		SE633550-200700	32.3	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111375_SE633550-200700	111375
6.64472	42.9	63.56740	20.72157	42.9	6	WA82865410	42.9	63.57_20.72	69c24f752f783b17409a6f140c985849	2012-06-07	Umeå Universitet	HO 28		SE633550-200700	42.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111376_SE633550-200700	111376
3.09857	38.6	63.69043	20.78842	38.6	6	WA82865410	38.6	63.69_20.79	c3b2b6a98780397b5deaf206705b2fb0	2012-06-07	Umeå Universitet	HO 4		SE633550-200700	38.6	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111377_SE633550-200700	111377
8.0373	16.6	63.72882	20.85202	16.6	6	WA82865410	16.6	63.73_20.85	d857c91891504ff02cb10ec8c81e2048	2012-06-07	Umeå Universitet	HO 7		SE633550-200700	16.6	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111378_SE633550-200700	111378
4.7868	26.2	63.49855	19.92517	26.2	5	WA82865410	26.2	63.50_19.93	b0197c908285e216076a78f50e3a35d5	2012-05-16	Umeå Universitet	N 12		SE633550-200700	26.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111813_SE633550-200700	111813
5.37381	45.0	63.43745	20.05008	45.0	5	WA82865410	45.0	63.44_20.05	b3274effe884dc42c2502b59db021eef	2012-05-16	Umeå Universitet	N 15		SE633550-200700	45.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111815_SE633550-200700	111815
4.92785	45.0	63.43745	20.05008	45.0	5	WA82865410	45.0	63.44_20.05	e19afff41a5b91e9feb74e52e75ef664	2012-05-16	Umeå Universitet	N 15		SE633550-200700	45.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111816_SE633550-200700	111816
4.92823	45.0	63.43745	20.05008	45.0	5	WA82865410	45.0	63.44_20.05	d45910ba4fea880d7277b11dd183f7b8	2012-05-16	Umeå Universitet	N 15		SE633550-200700	45.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111817_SE633550-200700	111817
4.12981	51.5	63.40007	19.97687	51.5	5	WA82865410	51.5	63.40_19.98	1d912a39a5d74bd90c9ec7ecc8a1ab6c	2012-05-16	Umeå Universitet	N 17		SE633550-200700	51.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111818_SE633550-200700	111818
3.85851	51.5	63.40007	19.97687	51.5	5	WA82865410	51.5	63.40_19.98	dd50ab076815f05dc524c7d8b174e40a	2012-05-16	Umeå Universitet	N 17		SE633550-200700	51.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111819_SE633550-200700	111819
4.14166	51.5	63.40007	19.97687	51.5	5	WA82865410	51.5	63.40_19.98	1e621c644ca18f1a4bc6a27ffc4bac92	2012-05-16	Umeå Universitet	N 17		SE633550-200700	51.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111820_SE633550-200700	111820
4.21497	85.9	63.41695	20.11267	85.9	5	WA82865410	85.9	63.42_20.11	d353042e62cd2008ce9474b292f88f61	2012-05-16	Umeå Universitet	N 24		SE633550-200700	85.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111821_SE633550-200700	111821
4.06909	85.9	63.41695	20.11267	85.9	5	WA82865410	85.9	63.42_20.11	8c878cb081a662742ee53e3dca46c701	2012-05-16	Umeå Universitet	N 24		SE633550-200700	85.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111822_SE633550-200700	111822
3.28441	85.9	63.41695	20.11267	85.9	5	WA82865410	85.9	63.42_20.11	3b9c9d5d79482a6d15dc1ff1a3543a0f	2012-05-16	Umeå Universitet	N 24		SE633550-200700	85.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111823_SE633550-200700	111823
6.93853	17.5	63.45118	19.76545	17.5	5	WA82865410	17.5	63.45_19.77	a58e90a6a25b68f55cbd661bd5d33d72	2012-05-16	Umeå Universitet	N 5		SE633550-200700	17.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2012	111824_SE633550-200700	111824
